City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
194,Tondano,ID,1.3038,124.9112,80.69,79,77,3.56,broken clouds
195,Nemuro,JP,43.3236,145.575,24.69,69,6,4.03,clear sky
196,North Branch,US,45.5113,-92.9802,21.29,91,20,11.43,few clouds
197,Kasongo-Lunda,CD,-6.4667,16.8167,75.65,76,100,0.47,overcast clouds
198,Namatanai,PG,-3.6667,152.4333,82.13,79,97,5.28,light rain
199,Bethel,US,41.3712,-73.414,35.82,88,0,0.0,mist
200,Rio Gallegos,AR,-51.6226,-69.2181,45.1,61,99,22.86,overcast clouds
201,Maragogi,BR,-9.0122,-35.2225,78.42,73,85,7.43,overcast clouds
202,Taoudenni,ML,22.6783,-3.9836,58.55,30,0,12.44,clear sky
203,Ulaangom,MN,49.9811,92.0667,-12.57,94,100,3.38,overcast clouds
204,Lahti,RU,59.9911,30.1597,34.14,91,25,11.77,scattered clouds
205,Pevek,RU,69.7008,170.3133,-30.69,99,100,2.77,overcast clouds
206,Bayir,TR,37.2687,28.2167,43.32,60,5,10.29,clear sky
207,Pacifica,US,37.6138,-122.4869,65.07,46,0,4.0,clear sky
208,Riverton,US,40.5219,-111.9391,40.3,64,100,3.44,overcast clouds
209,Nikolskoye,RU,59.7035,30.7861,33.87,91,30,9.33,scattered clouds
210,Sao Borja,BR,-28.6606,-56.0044,67.95,65,0,7.25,clear sky
211,Faanui,PF,-16.4833,-151.75,80.89,78,92,13.44,overcast clouds
212,Imeni Babushkina,RU,59.7573,43.1285,24.06,94,95,7.74,overcast clouds
213,Ponta Do Sol,PT,32.6667,-17.1,69.01,59,95,3.62,overcast clouds
214,Tezu,IN,27.9167,96.1667,68.49,52,99,3.89,overcast clouds
215,Borazjan,IR,29.2666,51.2159,69.31,24,0,2.51,clear sky
216,Lata,PT,40.1629,-8.3327,46.06,70,66,3.53,broken clouds
217,Buenos Aires,AR,-34.6132,-58.3772,72.95,72,0,12.01,clear sky
218,Basar,IN,27.9833,94.6667,65.66,97,100,1.32,overcast clouds
219,Mumford,GH,5.2618,-0.759,78.78,87,0,5.82,clear sky
220,Huesca,ES,42.1362,-0.4087,46.09,74,0,3.44,clear sky
221,Mutata,CO,7.2441,-76.4356,73.26,98,100,0.49,overcast clouds
222,Whitianga,NZ,-36.8333,175.7,76.01,91,73,4.16,broken clouds
